,Channel,Text,Date,Compound,Positive,Neutral,Negative
316,FoxNews,My Right to Freedom of Association Was Violated: Plaintiff Reacts After SCOTUS Deals Historic Blow to Unions https://t.co/HBVmGbha9i,Thu Jun 28 15:22:27 +0000 2018,0.2023,0.178,0.678,0.144
317,FoxNews,Airline group seeks to limit all 'emotional support' animals to just dogs https://t.co/7HF1Wgq58Q,Thu Jun 28 15:05:44 +0000 2018,0.5106,0.281,0.719,0.0
318,FoxNews,"OPINION: Bill Bennett, Karen Nussle: Supreme Court's Janus decision could change everything for our schools and kids https://t.co/jErRq9WRmw",Thu Jun 28 14:59:37 +0000 2018,0.5574,0.175,0.825,0.0
319,FoxNews,RT @FoxBusiness: JUST IN: Former Equifax manager charged with insider trading https://t.co/zDxRm18nGf,Thu Jun 28 14:57:15 +0000 2018,-0.2023,0.0,0.859,0.141
320,FoxNews,FBI Director Wray: “The IG report makes clear that we’ve got important work to do…Nothing in this report impugns th… https://t.co/6KjzlHKg6v,Thu Jun 28 14:56:00 +0000 2018,0.5267,0.188,0.812,0.0
321,FoxNews,FBI Director Wray: “The FBI is entrusted with a lot of authority and our actions are appropriately therefore subjec… https://t.co/I8KET4TyGj,Thu Jun 28 14:52:04 +0000 2018,0.2732,0.154,0.846,0.0
322,FoxNews,"Deputy AG Rod Rosenstein: “We need to correct errors, hold wrongdoers accountable, and deter future violations.” https://t.co/SCBN4v5m6m",Thu Jun 28 14:43:35 +0000 2018,-0.34,0.0,0.87,0.13
323,FoxNews,The House Judiciary Committee holds a hearing on “Oversight of FBI and DOJ Actions Surrounding the 2016 Election.”… https://t.co/zJApZaWPQs,Thu Jun 28 14:35:07 +0000 2018,0.0,0.0,1.0,0.0
324,FoxNews,Watch LIVE: @NancyPelosi holds her weekly news conference. https://t.co/ltbCb8IN9B,Thu Jun 28 14:35:03 +0000 2018,0.0,0.0,1.0,0.0
325,FoxNews,.@RepGoodlatte: “This hearing emphasizes the importance of transparency in helping to regain both the perception an… https://t.co/svgxt5c1RT,Thu Jun 28 14:34:00 +0000 2018,0.5719,0.239,0.761,0.0
326,FoxNews,".@RepGoodlatte: “We must assure the American people that the agencies under our jurisdiction operate fairly, treati… https://t.co/pgXxPCSOTs",Thu Jun 28 14:27:29 +0000 2018,0.34,0.13,0.87,0.0
327,FoxNews,TSA warns Friday may be 'one of busiest days ever' in agency's history https://t.co/BKekFL3Rov,Thu Jun 28 14:09:33 +0000 2018,-0.1027,0.0,0.903,0.097
328,FoxNews,.@POTUS to meet Putin on July 16 https://t.co/HzCupwZ6zk https://t.co/Pvw6BBGrs0,Thu Jun 28 14:05:32 +0000 2018,0.0,0.0,1.0,0.0
329,FoxNews,.@SenTedCruz: “We need to build the wall.” https://t.co/reFeQJkW57,Thu Jun 28 13:58:09 +0000 2018,0.0,0.0,1.0,0.0
330,FoxNews,.@SenTedCruz: “This could well prove to be the most significant thing President Trump does in his entire time in of… https://t.co/NkM9QVyloA,Thu Jun 28 13:49:46 +0000 2018,0.4927,0.181,0.819,0.0
